MAIL,FREIGHT,PASSENGERS,DISTANCE_GROUP,DISTANCE,DEST_AIRPORT_ID,DEST_CITY_NAME,DEST,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,ORIGIN,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER,MONTH,QUARTER,YEAR
0.0,0.0,5743.0,1,391.0,10693,"Nashville, TN",BNA,14193,"Pensacola, FL",PNS,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5744.0,2,968.0,11637,"Fargo, ND",FAR,11298,"Dallas/Fort Worth, TX",DFW,Envoy Air,MQ,1,1,2025
0.0,5167.0,5746.0,6,2935.0,14869,"Salt Lake City, UT",SLC,13830,"Kahului, HI",OGG,Delta Air Lines Inc.,DL,1,1,2025
0.0,0.0,5749.0,3,1052.0,14027,"West Palm Beach/Palm Beach, FL",PBI,12391,"Islip, NY",ISP,Frontier Airlines Inc.,F9,1,1,2025
0.0,336.0,5749.0,9,4184.0,13930,"Chicago, IL",ORD,13830,"Kahului, HI",OGG,United Air Lines Inc.,UA,1,1,2025
0.0,4770.0,5756.0,1,488.0,15304,"Tampa, FL",TPA,13495,"New Orleans, LA",MSY,Southwest Airlines Co.,WN,1,1,2025
0.0,2522.0,5758.0,3,1442.0,14893,"Sacramento, CA",SMF,11259,"Dallas, TX",DAL,Southwest Airlines Co.,WN,1,1,2025
0.0,25884.0,5760.0,1,314.0,10821,"Baltimore, MD",BWI,11042,"Cleveland, OH",CLE,Southwest Airlines Co.,WN,1,1,2025
0.0,4784.0,5764.0,2,873.0,14122,"Pittsburgh, PA",PIT,15304,"Tampa, FL",TPA,Southwest Airlines Co.,WN,1,1,2025
0.0,0.0,5767.0,1,175.0,13139,"Lynchburg, VA",LYH,11057,"Charlotte, NC",CLT,Piedmont Airlines,PT,1,1,2025
0.0,0.0,5767.0,3,1062.0,11042,"Cleveland, OH",CLE,11697,"Fort Lauderdale, FL",FLL,Frontier Airlines Inc.,F9,1,1,2025
